folder,coef_min,method,baseline,metric,direction,n,mean_treat,std_treat,median_treat,mean_base,std_base,median_base,mean_diff,wilcoxon_p,wilcoxon_sig,ttest_p,ttest_sig
p_1000_20260615-125443,0,Method A,Original,MACC,higher_is_better,10,96.0,5.163977794943222,100.0,100.0,0.0,100.0,-4.0,0.125,ns,0.036787497879786156,*
p_1000_20260615-125443,0,Method A,Original,MFPR,lower_is_better,10,22.333333333333336,11.564218025701237,20.0,14.0,6.992058987801011,15.0,8.333333333333334,0.125,ns,0.042379281631805515,*
p_1000_20260615-125443,0,Method A,Original,Time,lower_is_better,10,31.942,11.554742941512998,35.315,225.183,32.06350679164363,212.29000000000002,-193.24099999999999,0.001953125,**,3.124598005925305e-08,***
p_1000_20260615-125443,0,Method B,Original,MACC,higher_is_better,10,100.0,0.0,100.0,100.0,0.0,100.0,0.0,,,,
p_1000_20260615-125443,0,Method B,Original,MFPR,lower_is_better,10,20.0,13.333333333333334,20.0,14.0,6.992058987801011,15.0,6.0,0.25,ns,0.08112618884584057,ns
p_1000_20260615-125443,0,Method B,Original,Time,lower_is_better,10,33.227999999999994,4.858165634612855,33.980000000000004,225.183,32.06350679164363,212.29000000000002,-191.955,0.001953125,**,1.1423272665817221e-08,***
p_1000_20260615-125443,0,Method C,Original,MACC,higher_is_better,10,85.0,11.785113019775793,85.0,100.0,0.0,100.0,-15.0,0.0078125,**,0.002995777451398833,**
p_1000_20260615-125443,0,Method C,Original,MFPR,lower_is_better,10,0.9999999999999998,3.1622776601683786,0.0,14.0,6.992058987801011,15.0,-13.0,0.0078125,**,0.0007456180601272579,***
p_1000_20260615-125443,0,Method C,Original,Time,lower_is_better,10,347.793,55.0105664698459,354.93,225.183,32.06350679164363,212.29000000000002,122.61000000000001,0.001953125,**,6.314852397669492e-05,***
p_1000_20260615-125443,0,Method D,Original,MACC,higher_is_better,10,84.0,11.737877907772672,80.0,100.0,0.0,100.0,-16.0,0.0078125,**,0.0019601743970654294,**
p_1000_20260615-125443,0,Method D,Original,MFPR,lower_is_better,10,0.9999999999999998,3.1622776601683786,0.0,14.0,6.992058987801011,15.0,-13.0,0.0078125,**,0.0007456180601272579,***
p_1000_20260615-125443,0,Method D,Original,Time,lower_is_better,10,339.93,57.06512186382617,353.72,225.183,32.06350679164363,212.29000000000002,114.747,0.001953125,**,6.382385470369178e-05,***
p_1000_20260615-125443,0,Method E,Original,MACC,higher_is_better,10,75.0,14.337208778404378,80.0,100.0,0.0,100.0,-25.0,0.001953125,**,0.00037331297065579765,***
p_1000_20260615-125443,0,Method E,Original,MFPR,lower_is_better,10,0.0,0.0,0.0,14.0,6.992058987801011,15.0,-14.0,0.00390625,**,0.00013577665393918912,***
p_1000_20260615-125443,0,Method E,Original,Time,lower_is_better,10,45.421,16.6350630029198,47.65,225.183,32.06350679164363,212.29000000000002,-179.762,0.001953125,**,1.061636891843443e-07,***
p_1000_20260615-125443,0,Enhanced Corr,Original,MACC,higher_is_better,10,96.0,5.163977794943222,100.0,100.0,0.0,100.0,-4.0,0.125,ns,0.036787497879786156,*
p_1000_20260615-125443,0,Enhanced Corr,Original,MFPR,lower_is_better,10,0.9999999999999998,3.1622776601683786,0.0,14.0,6.992058987801011,15.0,-13.0,0.0078125,**,0.0007456180601272579,***
p_1000_20260615-125443,0,Enhanced Corr,Original,Time,lower_is_better,10,31.752999999999997,11.6590118220485,36.010000000000005,225.183,32.06350679164363,212.29000000000002,-193.43,0.001953125,**,3.398085640932732e-08,***
p_1000_20260615-125443,0,Enhanced Eigen,Original,MACC,higher_is_better,10,100.0,0.0,100.0,100.0,0.0,100.0,0.0,,,,
p_1000_20260615-125443,0,Enhanced Eigen,Original,MFPR,lower_is_better,10,0.9999999999999998,3.1622776601683786,0.0,14.0,6.992058987801011,15.0,-13.0,0.0078125,**,0.0007456180601272579,***
p_1000_20260615-125443,0,Enhanced Eigen,Original,Time,lower_is_better,10,34.017,4.654694285223132,34.14,225.183,32.06350679164363,212.29000000000002,-191.166,0.001953125,**,1.3674000167105585e-08,***
